location,target_count,target_sum,geodata,address,point
chattanooga tn,1,1,"Chattanooga, Hamilton County, Tennessee, United States of America","Chattanooga, Hamilton County, Tennessee, United States of America","(35.0457219, -85.3094883, 0.0)"
chennai,1,1,"சென்னை - Chennai, Chennai district, Tamil Nadu, India","சென்னை - Chennai, Chennai district, Tamil Nadu, India","(13.0801721, 80.2838331, 0.0)"
cherry creek denver co,2,2,"Cherry Creek, Denver, Denver County, Colorado, 80231, United States of America","Cherry Creek, Denver, Denver County, Colorado, 80231, United States of America","(39.6636098, -104.8774436, 0.0)"
chester,1,0,"Chester, Cheshire West and Chester, North West England, England, CH1 2ET, United Kingdom","Chester, Cheshire West and Chester, North West England, England, CH1 2ET, United Kingdom","(53.1908873, -2.8908955, 0.0)"
chester ,1,0,"Chester, Cheshire West and Chester, North West England, England, CH1 2ET, United Kingdom","Chester, Cheshire West and Chester, North West England, England, CH1 2ET, United Kingdom","(53.1908873, -2.8908955, 0.0)"
chester football club,1,0,"Chester Rugby Union Football Club, Hare Lane, Guilden Sutton, Littleton, Cheshire West and Chester, North West England, England, CH3 7DB, United Kingdom","Chester Rugby Union Football Club, Hare Lane, Guilden Sutton, Littleton, Cheshire West and Chester, North West England, England, CH3 7DB, United Kingdom","(53.19673715, -2.84276184267259, 0.0)"
"chester, il",1,0,"Chester, Cheshire West and Chester, North West England, England, CH1 2ET, United Kingdom","Chester, Cheshire West and Chester, North West England, England, CH1 2ET, United Kingdom","(53.1908873, -2.8908955, 0.0)"
"chevy chase, md",2,2,"Chevy Chase, Montgomery County, Maryland, 20815, United States of America","Chevy Chase, Montgomery County, Maryland, 20815, United States of America","(38.9822473, -77.0881873, 0.0)"
chicago,13,6,"Chicago, Cook County, Illinois, United States of America","Chicago, Cook County, Illinois, United States of America","(41.8755616, -87.6244212, 0.0)"
chicago area,1,0,"Chicago, BRAI - Area 5, Santo Niño, Rizal, Calabarzon, 1900, Philippines","Chicago, BRAI - Area 5, Santo Niño, Rizal, Calabarzon, 1900, Philippines","(14.5880864, 121.126897, 0.0)"
"chicago heights, il",1,0,"Chicago Heights, Cook County, Illinois, 60411, United States of America","Chicago Heights, Cook County, Illinois, 60411, United States of America","(41.5062834, -87.6357079, 0.0)"
chicago il,1,1,"Chicago, Cook County, Illinois, United States of America","Chicago, Cook County, Illinois, United States of America","(41.8755616, -87.6244212, 0.0)"
"chicago, but philly is home",1,1,,,
"chicago, il",19,9,"Chicago, Cook County, Illinois, United States of America","Chicago, Cook County, Illinois, United States of America","(41.8755616, -87.6244212, 0.0)"
"chicago, il ",1,1,"Chicago, Cook County, Illinois, United States of America","Chicago, Cook County, Illinois, United States of America","(41.8755616, -87.6244212, 0.0)"
"chicago, illinois",2,1,"Chicago, Cook County, Illinois, United States of America","Chicago, Cook County, Illinois, United States of America","(41.8755616, -87.6244212, 0.0)"
"chicago,illinois",1,0,"Chicago, Cook County, Illinois, United States of America","Chicago, Cook County, Illinois, United States of America","(41.8755616, -87.6244212, 0.0)"
chicagoland,1,1,"Chicagoland Speedway, West Schweizer Road, CenterPoint Intermodal Center - Joliet, IL, Union, Joliet, Will County, Illinois, 60433, United States of America","Chicagoland Speedway, West Schweizer Road, CenterPoint Intermodal Center - Joliet, IL, Union, Joliet, Will County, Illinois, 60433, United States of America","(41.47441105, -88.05876255177395, 0.0)"
chicagorobotz,1,0,,,
chicopee ma,1,0,"Chicopee, Hampden County, Massachusetts, United States of America","Chicopee, Hampden County, Massachusetts, United States of America","(42.1766579, -72.5718773, 0.0)"
chile,2,1,Chile,Chile,"(-31.7613365, -71.3187697, 0.0)"
chillin at ceder rapids,1,0,,,
china,7,1,中国,中国,"(35.000074, 104.999927, 0.0)"
"chiswick, london",1,0,"Chiswick, London Borough of Hounslow, London, Greater London, England, W4 5UL, United Kingdom","Chiswick, London Borough of Hounslow, London, Greater London, England, W4 5UL, United Kingdom","(51.4923137, -0.263818, 0.0)"
"chiyoda ward, tokyo",1,0,,,
"chorley, lancashire, uk",1,0,"Chorley, Lancashire, North West England, England, United Kingdom","Chorley, Lancashire, North West England, England, United Kingdom","(53.6531915, -2.6294313, 0.0)"
christchurch new zealand,1,0,"Christchurch, Canterbury, New Zealand","Christchurch, Canterbury, New Zealand","(-43.530955, 172.6366455, 0.0)"
"christiana,tennessee",1,0,"Christiana, Rutherford County, Tennessee, 37037, United States of America","Christiana, Rutherford County, Tennessee, 37037, United States of America","(35.7100099, -86.3993653, 0.0)"
"cimahi,west java,indonesia",1,1,"Cimahi, Jawa Barat, 40524, Indonesia","Cimahi, Jawa Barat, 40524, Indonesia","(-6.8731527, 107.5423099, 0.0)"
"cincinnati, oh",1,0,"Cincinnati, Hamilton County, Ohio, United States of America","Cincinnati, Hamilton County, Ohio, United States of America","(39.1014537, -84.5124602, 0.0)"
"city of angels, ca",1,0,"Los Angeles, Los Angeles County, California, United States of America","Los Angeles, Los Angeles County, California, United States of America","(34.0536909, -118.2427666, 0.0)"
city of joy,1,1,"City Of Joy, T Ward, Zone 6, Mumbai, Mumbai Suburban, Maharashtra, India","City Of Joy, T Ward, Zone 6, Mumbai, Mumbai Suburban, Maharashtra, India","(19.1784879, 72.95860160523095, 0.0)"
"city of london, london",1,1,"City of London, Greater London, England, EC2V 5AE, United Kingdom","City of London, Greater London, England, EC2V 5AE, United Kingdom","(51.5156177, -0.0919983, 0.0)"
"clayton, nc",1,1,"Clayton, Johnston County, North Carolina, 27520, United States of America","Clayton, Johnston County, North Carolina, 27520, United States of America","(35.650711, -78.4563914, 0.0)"
clean world,1,1,"Clean World, Summerfield Street, Burnt Ash Green, Grove Park, London Borough of Lewisham, London, Greater London, England, SE12 0PS, United Kingdom","Clean World, Summerfield Street, Burnt Ash Green, Grove Park, London Borough of Lewisham, London, Greater London, England, SE12 0PS, United Kingdom","(51.4435447, 0.0148049, 0.0)"
"clearwater, fl",1,0,"Clearwater, Pinellas County, Florida, United States of America","Clearwater, Pinellas County, Florida, United States of America","(27.9658533, -82.8001026, 0.0)"
"cleveland, oh",6,3,"Cleveland, Cuyahoga County, Ohio, United States of America","Cleveland, Cuyahoga County, Ohio, United States of America","(41.5051613, -81.6934446, 0.0)"
"cleveland, ohio",1,0,"Cleveland, Cuyahoga County, Ohio, United States of America","Cleveland, Cuyahoga County, Ohio, United States of America","(41.5051613, -81.6934446, 0.0)"
"cleveland, tn",1,0,"Cleveland, Bradley County, Tennessee, United States of America","Cleveland, Bradley County, Tennessee, United States of America","(35.1595182, -84.8766115, 0.0)"
"click the link below, okay ",1,0,,,
clt,1,0,"Charlotte-Douglas International Airport, Wilkinson Boulevard, White Oak Park, Charlotte, Mecklenburg County, North Carolina, 28214, United States of America","Charlotte-Douglas International Airport, Wilkinson Boulevard, White Oak Park, Charlotte, Mecklenburg County, North Carolina, 28214, United States of America","(35.21074145, -80.9457435226013, 0.0)"
clvlnd,1,0,,,
cobblestone,1,1,"Cobblestone, Pearland, Brazoria County, Texas, United States of America","Cobblestone, Pearland, Brazoria County, Texas, United States of America","(29.5429169, -95.29136422718906, 0.0)"
"cochrane, alberta, canada",1,1,"Cochrane, Town of Cochrane, Alberta, T4V 2A7, Canada","Cochrane, Town of Cochrane, Alberta, T4V 2A7, Canada","(51.1874627, -114.4710708, 0.0)"
"coconut creek, florida",1,0,"Coconut Creek, Broward County, Florida, United States of America","Coconut Creek, Broward County, Florida, United States of America","(26.271462800000002, -80.18180791688866, 0.0)"
cognitive dissonance town,1,0,,,
coimbatore,1,1,"Coimbatore, Coimbatore North, கோயம்புத்தூர் மாவட்டம், Tamil Nadu, 641001, India","Coimbatore, Coimbatore North, கோயம்புத்தூர் மாவட்டம், Tamil Nadu, 641001, India","(11.0018115, 76.9628425, 0.0)"
colchester essex ,1,0,"Colchester, Essex, East of England, England, United Kingdom","Colchester, Essex, East of England, England, United Kingdom","(51.8896903, 0.8994651, 0.0)"
"college station, tx",1,0,"College Station, Brazos County, Texas, United States of America","College Station, Brazos County, Texas, United States of America","(30.5955289, -96.3071042, 0.0)"
colombia,2,0,Colombia,Colombia,"(2.8894434, -73.783892, 0.0)"
"colonial heights, va",1,1,"Colonial Heights, Virginia, United States of America","Colonial Heights, Virginia, United States of America","(37.2659454, -77.39900791681706, 0.0)"
colorado,7,3,"Colorado, United States of America","Colorado, United States of America","(38.7251776, -105.6077167, 0.0)"
colorado springs,1,0,"Colorado Springs, El Paso County, Colorado, United States of America","Colorado Springs, El Paso County, Colorado, United States of America","(38.8339578, -104.8253485, 0.0)"
"colorado, usa",1,0,"Colorado, United States of America","Colorado, United States of America","(38.7251776, -105.6077167, 0.0)"
"columbia heights, mn",1,0,"Columbia Heights, Anoka County, Minnesota, 55421, United States of America","Columbia Heights, Anoka County, Minnesota, 55421, United States of America","(45.0460458, -93.2517802, 0.0)"
"columbia, sc",2,1,"Columbia, Richland County, South Carolina, United States of America","Columbia, Richland County, South Carolina, United States of America","(34.0007493, -81.0343313, 0.0)"
columbus,2,1,"Columbus, Franklin County, Ohio, United States of America","Columbus, Franklin County, Ohio, United States of America","(39.9622601, -83.0007065, 0.0)"
columbus ohio,1,0,"Columbus, Franklin County, Ohio, United States of America","Columbus, Franklin County, Ohio, United States of America","(39.9622601, -83.0007065, 0.0)"
"columbus, georgia",1,0,"Columbus, Muscogee County, Georgia, United States of America","Columbus, Muscogee County, Georgia, United States of America","(32.4609764, -84.9877094, 0.0)"
"columbus, oh",3,1,"Columbus, Franklin County, Ohio, United States of America","Columbus, Franklin County, Ohio, United States of America","(39.9622601, -83.0007065, 0.0)"
coming soon,1,0,"Coming soon, Place de la Vieille Halle aux Blés - Oud Korenhuis, Quartier du Centre - Centrumwijk, Bruxelles / Brussel, Ville de Bruxelles - Stad Brussel, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, België - Belgique - Belgien","Coming soon, Place de la Vieille Halle aux Blés - Oud Korenhuis, Quartier du Centre - Centrumwijk, Bruxelles / Brussel, Ville de Bruxelles - Stad Brussel, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1000, België - Belgique - Belgien","(50.843897, 4.3522995, 0.0)"
"concord, ca",1,1,"Concord, Municipality of Pictou County, Nova Scotia, Canada","Concord, Municipality of Pictou County, Nova Scotia, Canada","(45.452798, -62.7905136, 0.0)"
"concord, nh ",1,1,"Concord, Merrimack County, New Hampshire, United States of America","Concord, Merrimack County, New Hampshire, United States of America","(43.207178, -71.537476, 0.0)"
connecticut,2,1,"Connecticut, United States of America","Connecticut, United States of America","(41.6500201, -72.7342163, 0.0)"
"conroe, tx",1,0,"Conroe, Montgomery County, Texas, United States of America","Conroe, Montgomery County, Texas, United States of America","(30.3118769, -95.4560512, 0.0)"
contoocook valley region of ne,1,0,,,
"coolidge, az",1,0,"Coolidge, Pinal County, Arizona, 85128, United States of America","Coolidge, Pinal County, Arizona, 85128, United States of America","(32.977839, -111.517624, 0.0)"
"copenhagen, capital region of denmark",1,1,"København, Københavns Kommune, Region Hovedstaden, 1357, Danmark","København, Københavns Kommune, Region Hovedstaden, 1357, Danmark","(55.6867243, 12.5700724, 0.0)"
cork,1,0,"Cork, Cork City 2019, County Cork, Munster, T12 EE6N, Ireland","Cork, Cork City 2019, County Cork, Munster, T12 EE6N, Ireland","(51.8979282, -8.4705806, 0.0)"
cornfields,1,1,"Cornfields, Apache County, Arizona, United States of America","Cornfields, Apache County, Arizona, United States of America","(35.652235, -109.6792759, 0.0)"
cornwall,1,1,"Cornwall, South West England, England, United Kingdom","Cornwall, South West England, England, United Kingdom","(50.416667, -4.75, 0.0)"
corpus christi,1,1,"Corpus Christi, Nueces County, Texas, United States of America","Corpus Christi, Nueces County, Texas, United States of America","(27.7477253, -97.4014129, 0.0)"
"corpus christi, texas",1,1,"Corpus Christi, Nueces County, Texas, United States of America","Corpus Christi, Nueces County, Texas, United States of America","(27.7477253, -97.4014129, 0.0)"
cosmic oneness,1,0,,,
costa rica,2,0,Costa Rica,Costa Rica,"(10.2735633, -84.0739102, 0.0)"
cottonwood arizona,1,1,"Cottonwood, Yavapai County, Arizona, 86326, United States of America","Cottonwood, Yavapai County, Arizona, 86326, United States of America","(34.739489, -112.0097939, 0.0)"
"county durham, united kingdom",1,0,"County Durham, North East England, England, United Kingdom","County Durham, North East England, England, United Kingdom","(54.666667, -1.75, 0.0)"
coventry,5,0,"Coventry, West Midlands Combined Authority, West Midlands, England, United Kingdom","Coventry, West Midlands Combined Authority, West Midlands, England, United Kingdom","(52.4081812, -1.510477, 0.0)"
"coventry, rhode island",1,0,"Coventry, Rhode Island, United States of America","Coventry, Rhode Island, United States of America","(41.7000996, -71.6828444, 0.0)"
"coventry, uk",1,0,"Coventry, West Midlands Combined Authority, West Midlands, England, United Kingdom","Coventry, West Midlands Combined Authority, West Midlands, England, United Kingdom","(52.4081812, -1.510477, 0.0)"
"crayford, london",1,1,"Crayford, Lower Station Road, Crayford, London Borough of Bexley, London, Greater London, England, DA1 3PW, United Kingdom","Crayford, Lower Station Road, Crayford, London Borough of Bexley, London, Greater London, England, DA1 3PW, United Kingdom","(51.4481946, 0.1783696, 0.0)"
"crouch end, london",1,0,"Crouch End, London, Greater London, England, N8 9SW, United Kingdom","Crouch End, London, Greater London, England, N8 9SW, United Kingdom","(51.5787402, -0.1235992, 0.0)"
croydon,1,0,"Croydon, London, Greater London, England, CR0 1SZ, United Kingdom","Croydon, London, Greater London, England, CR0 1SZ, United Kingdom","(51.3713049, -0.101957, 0.0)"
"ct, usa",1,0,"Connecticut, United States of America","Connecticut, United States of America","(41.6500201, -72.7342163, 0.0)"
cuba,1,1,Cuba,Cuba,"(23.0131338, -80.8328748, 0.0)"
"cumming, ga",2,1,"Cumming, Forsyth County, Georgia, United States of America","Cumming, Forsyth County, Georgia, United States of America","(34.2073196, -84.1401926, 0.0)"
"cuttack, orissa",1,0,"Cuttack, Cuttack (M.Corp.) P.S, Cuttack, Odisha, 753001, India","Cuttack, Cuttack (M.Corp.) P.S, Cuttack, Odisha, 753001, India","(20.4686, 85.8792, 0.0)"
cydia,1,0,,,
cymru araul,1,1,"Araul, Banadl Road, Southgate, Aberystwyth, Ceredigion, Cymru / Wales, SY23 1LZ, United Kingdom","Araul, Banadl Road, Southgate, Aberystwyth, Ceredigion, Cymru / Wales, SY23 1LZ, United Kingdom","(52.4148008, -4.076374018044078, 0.0)"
cyprus,2,1,Κύπρος - Kıbrıs,Κύπρος - Kıbrıs,"(34.9823018, 33.1451285, 0.0)"
daddy kink central,1,0,,,
"dagenham, essex",1,0,"Essex Hand Car Wash, Dagenham, London Borough of Barking and Dagenham, London, Greater London, England, United Kingdom","Essex Hand Car Wash, Dagenham, London Borough of Barking and Dagenham, London, Greater London, England, United Kingdom","(51.53998755, 0.1562232, 0.0)"
dakar,1,1,"Dakar, 2084, Sénégal","Dakar, 2084, Sénégal","(14.693425, -17.447938, 0.0)"
"dakounty, pa",1,1,,,
"dalkeith, scotland",1,0,"Dalkeith, Midlothian, Scotland, EH22 1JA, United Kingdom","Dalkeith, Midlothian, Scotland, EH22 1JA, United Kingdom","(55.8943361, -3.0700445, 0.0)"
"dallas, tejas",1,0,"Tejas, West Red Bird Lane, Red Bird Addition, Duncanville, Dallas County, Texas, 75236, United States of America","Tejas, West Red Bird Lane, Red Bird Addition, Duncanville, Dallas County, Texas, 75236, United States of America","(32.6759111, -96.9295057, 0.0)"
"dallas, tx",9,3,"Dallas, Dallas County, Texas, United States of America","Dallas, Dallas County, Texas, United States of America","(32.7762719, -96.7968559, 0.0)"
"dallas, tx ",1,1,"Dallas, Dallas County, Texas, United States of America","Dallas, Dallas County, Texas, United States of America","(32.7762719, -96.7968559, 0.0)"
"dalston, hackney",1,1,"Dalston, London, Greater London, England, E8 3BS, United Kingdom","Dalston, London, Greater London, England, E8 3BS, United Kingdom","(51.5434023, -0.0672286, 0.0)"
"danbury, ct",1,0,"Danbury, Fairfield, Connecticut, 06810, United States of America","Danbury, Fairfield, Connecticut, 06810, United States of America","(41.394817, -73.4540111, 0.0)"
"danville, va",1,0,"Danville, Danville City, Virginia, United States of America","Danville, Danville City, Virginia, United States of America","(36.5859718, -79.3950228, 0.0)"
darlington,1,0,"Darlington, North East England, England, DL1 5QQ, United Kingdom","Darlington, North East England, England, DL1 5QQ, United Kingdom","(54.5242081, -1.5555812, 0.0)"
"darnley, prince edward island",1,0,"Darnley, Summerside, Prince County, Prince Edward Island, Canada","Darnley, Summerside, Prince County, Prince Edward Island, Canada","(46.5412446, -63.6340871, 0.0)"
davao city,1,0,"Davao City, Davao Region, Philippines","Davao City, Davao Region, Philippines","(7.0644576, 125.6083647, 0.0)"
"davidson, nc",1,0,"Davidson, Mecklenburg County, North Carolina, United States of America","Davidson, Mecklenburg County, North Carolina, United States of America","(35.4993031, -80.8486846, 0.0)"
"davis, california",1,1,"Davis, Yolo County, California, United States of America","Davis, Yolo County, California, United States of America","(38.545379, -121.7445835, 0.0)"
"dayton, oh",1,0,"Dayton, Montgomery County, Ohio, United States of America","Dayton, Montgomery County, Ohio, United States of America","(39.7589478, -84.1916069, 0.0)"
"dayton, ohio",1,1,"Dayton, Montgomery County, Ohio, United States of America","Dayton, Montgomery County, Ohio, United States of America","(39.7589478, -84.1916069, 0.0)"
dc,2,1,"Distrito Capital, Colombia","Distrito Capital, Colombia","(4.59808, -74.0760439, 0.0)"
dc metro area,1,0,"DC SQUARE BLDG., Timog Avenue, South Triangle, Scout Area, 4th District, Metro Manila, 1103, Philippines","DC SQUARE BLDG., Timog Avenue, South Triangle, Scout Area, 4th District, Metro Manila, 1103, Philippines","(14.63487765, 121.03419475000001, 0.0)"
"deadend, uk",1,0,,,
death star,1,0,"Death Star, Tabbimoble, Richmond Valley Council, 2472, Australia","Death Star, Tabbimoble, Richmond Valley Council, 2472, Australia","(-29.1707174, 153.2307012, 0.0)"
"decatur, ga",2,0,"Decatur County, Georgia, United States of America","Decatur County, Georgia, United States of America","(30.8736613, -84.5740953, 0.0)"
definitely not the stables,1,0,,,
delhi,1,0,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","(28.6517178, 77.2219388, 0.0)"
delhi ,1,0,"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India","(28.6517178, 77.2219388, 0.0)"
"den helder, rijkswerf",1,0,,,
denmark,1,1,Danmark,Danmark,"(55.670249, 10.3333283, 0.0)"
"denton, texas",1,0,"Denton County, Texas, United States of America","Denton County, Texas, United States of America","(33.1838787, -97.1413417, 0.0)"
denver colorado,1,0,"Denver, Denver County, Colorado, United States of America","Denver, Denver County, Colorado, United States of America","(39.7392364, -104.9848623, 0.0)"
"denver, co",7,4,"Denver, Denver County, Colorado, United States of America","Denver, Denver County, Colorado, United States of America","(39.7392364, -104.9848623, 0.0)"
"denver, colorado",9,6,"Denver, Denver County, Colorado, United States of America","Denver, Denver County, Colorado, United States of America","(39.7392364, -104.9848623, 0.0)"
deployed in the middle east,1,0,,,
depok,1,0,"Depok, Jawa Barat, 16439, Indonesia","Depok, Jawa Barat, 16439, Indonesia","(-6.4074657, 106.8138131, 0.0)"
derby,2,0,"Derby, East Midlands, England, DE1 2AA, United Kingdom","Derby, East Midlands, England, DE1 2AA, United Kingdom","(52.9212617, -1.4761491, 0.0)"
"derbyshire, united kingdom",1,0,"Great Britain, Derbyshire, Richmondshire, North Yorkshire, Yorkshire and the Humber, England, United Kingdom","Great Britain, Derbyshire, Richmondshire, North Yorkshire, Yorkshire and the Humber, England, United Kingdom","(53.1185033, -1.5566179305872212, 0.0)"
"des moines, ia",3,0,"Des Moines, Polk County, Iowa, United States of America","Des Moines, Polk County, Iowa, United States of America","(41.5910641, -93.6037149, 0.0)"
"des moines, iowa ",1,1,"Des Moines, Polk County, Iowa, United States of America","Des Moines, Polk County, Iowa, United States of America","(41.5910641, -93.6037149, 0.0)"
desde republica argentina,2,1,"Camino a Villafañe desde Escuela 42, La Delia, Partido de Chacabuco, Buenos Aires, Argentina","Camino a Villafañe desde Escuela 42, La Delia, Partido de Chacabuco, Buenos Aires, Argentina","(-34.6833679, -60.6461568, 0.0)"
detroit,2,0,"Detroit, Wayne County, Michigan, United States of America","Detroit, Wayne County, Michigan, United States of America","(42.3315509, -83.0466403, 0.0)"
detroit tigers dugout,1,0,,,
"detroit, mi",2,1,"Detroit, Wayne County, Michigan, United States of America","Detroit, Wayne County, Michigan, United States of America","(42.3315509, -83.0466403, 0.0)"
"detroit, mi, united states",1,0,"Detroit, Wayne County, Michigan, United States of America","Detroit, Wayne County, Michigan, United States of America","(42.3315509, -83.0466403, 0.0)"
"detroit, michigan",1,0,"Detroit, Wayne County, Michigan, United States of America","Detroit, Wayne County, Michigan, United States of America","(42.3315509, -83.0466403, 0.0)"
"dfw, texas",1,1,"Dallas/Fort Worth International Airport, Glade Road, Grapevine, Tarrant County, Texas, 75261, United States of America","Dallas/Fort Worth International Airport, Glade Road, Grapevine, Tarrant County, Texas, 75261, United States of America","(32.89651945, -97.0465220537124, 0.0)"
dhaka,1,1,"ঢাকা, ঢাকা জেলা, ঢাকা বিভাগ, 12, Bangladesh","ঢাকা, ঢাকা জেলা, ঢাকা বিভাগ, 12, Bangladesh","(23.7593572, 90.3788136, 0.0)"
"dhaka, bangladsh",1,1,,,
diamondville,1,0,"Diamondville, Lincoln County, Wyoming, 83116, United States of America","Diamondville, Lincoln County, Wyoming, 83116, United States of America","(41.7793918, -110.5385026, 0.0)"
dicky beach,1,1,"Dicky Beach, Caloundra, Queensland, 4551, Australia","Dicky Beach, Caloundra, Queensland, 4551, Australia","(-26.7803121, 153.1371567, 0.0)"
dmv,1,0,"3201, Horseless Carriage Drive, Norco, Riverside County, California, 92860, United States of America","3201, Horseless Carriage Drive, Norco, Riverside County, California, 92860, United States of America","(33.928231499999995, -117.5612436, 0.0)"
docker container,1,0,,,
doghouse,1,0,"Doghouse, Weallup Lake, Snohomish County, Washington, United States of America","Doghouse, Weallup Lake, Snohomish County, Washington, United States of America","(48.1116997, -122.3133879, 0.0)"
dope show,1,0,,,
dorito land,1,0,,,
"dorset, uk",1,0,"Great Britain, Dorset, Richmondshire, North Yorkshire, Yorkshire and the Humber, England, United Kingdom","Great Britain, Dorset, Richmondshire, North Yorkshire, Yorkshire and the Humber, England, United Kingdom","(50.79683685, -2.34473226124306, 0.0)"
"dorset, united kingdom",1,1,"Great Britain, Dorset, Richmondshire, North Yorkshire, Yorkshire and the Humber, England, United Kingdom","Great Britain, Dorset, Richmondshire, North Yorkshire, Yorkshire and the Humber, England, United Kingdom","(50.79683685, -2.34473226124306, 0.0)"
"dover, de",1,0,"Dover, Kent County, Delaware, United States of America","Dover, Kent County, Delaware, United States of America","(39.158168, -75.5243682, 0.0)"
"downtown churubusco, indiana",1,0,,,
downtown oklahoma city,1,0,,,
dreamy lake,1,0,"Dreamy Lake, Unorganized North Sudbury, Sudbury District, Northeastern Ontario, Ontario, Canada","Dreamy Lake, Unorganized North Sudbury, Sudbury District, Northeastern Ontario, Ontario, Canada","(46.91504715, -80.98388490851619, 0.0)"
"dreieich, germany",1,1,"Dreieich, Landkreis Offenbach, Hessen, 63303, Deutschland","Dreieich, Landkreis Offenbach, Hessen, 63303, Deutschland","(50.011974, 8.7123912, 0.0)"
dubai,2,2,"دبي, United Arab Emirates","دبي, United Arab Emirates","(25.0750095, 55.18876088183319, 0.0)"
dubai ,1,1,"دبي, United Arab Emirates","دبي, United Arab Emirates","(25.0750095, 55.18876088183319, 0.0)"
"dubai, uae",2,1,"دبي, United Arab Emirates","دبي, United Arab Emirates","(25.0750095, 55.18876088183319, 0.0)"
"dubai, united arab emirates",1,1,"دبي, United Arab Emirates","دبي, United Arab Emirates","(25.0750095, 55.18876088183319, 0.0)"
dublin,1,0,"Dublin, County Dublin, Leinster, Ireland","Dublin, County Dublin, Leinster, Ireland","(53.3497645, -6.2602732, 0.0)"
dublin ,1,0,"Dublin, County Dublin, Leinster, Ireland","Dublin, County Dublin, Leinster, Ireland","(53.3497645, -6.2602732, 0.0)"
"dublin city, ireland",2,1,"Dublin, County Dublin, Leinster, Ireland","Dublin, County Dublin, Leinster, Ireland","(53.3497645, -6.2602732, 0.0)"
"dublin, ireland",3,1,"Dublin, County Dublin, Leinster, Ireland","Dublin, County Dublin, Leinster, Ireland","(53.3497645, -6.2602732, 0.0)"
dudetown,1,0,,,
duncan,1,1,"Duncan, Oklahoma, 73533, United States of America","Duncan, Oklahoma, 73533, United States of America","(34.5023029, -97.9578129, 0.0)"
dundalk ireland,1,0,"Dundalk, County Louth, Leinster, A91 RC44, Ireland","Dundalk, County Louth, Leinster, A91 RC44, Ireland","(54.0046033, -6.4008879, 0.0)"
"dundas, ontario",1,0,"Dundas, Hamilton, Golden Horseshoe, Ontario, L9H 1T5, Canada","Dundas, Hamilton, Golden Horseshoe, Ontario, L9H 1T5, Canada","(43.2661904, -79.9546341, 0.0)"
dundee,2,2,"Dundee, Dundee City, Scotland, DD1 1SA, United Kingdom","Dundee, Dundee City, Scotland, DD1 1SA, United Kingdom","(56.4605938, -2.97019, 0.0)"
"dundee, uk",1,1,"Dundee, Dundee City, Scotland, DD1 1SA, United Kingdom","Dundee, Dundee City, Scotland, DD1 1SA, United Kingdom","(56.4605938, -2.97019, 0.0)"
"dunwoody, ga",1,0,"Dunwoody, DeKalb County, Georgia, United States of America","Dunwoody, DeKalb County, Georgia, United States of America","(33.9483649, -84.334963, 0.0)"
"durand, mi",1,0,"Durand, Shiawassee County, Michigan, United States of America","Durand, Shiawassee County, Michigan, United States of America","(42.9119885, -83.9846367, 0.0)"
"durban, south africa",1,0,"Durban, eThekwini Metropolitan Municipality, KwaZulu-Natal, 4057, South Africa","Durban, eThekwini Metropolitan Municipality, KwaZulu-Natal, 4057, South Africa","(-29.861825, 31.009909, 0.0)"
"durham, nc",2,0,"Durham, Durham County, North Carolina, United States of America","Durham, Durham County, North Carolina, United States of America","(35.996653, -78.9018053, 0.0)"
"eagle mountain, texas ",1,0,"Eagle Mountain, Fort Worth, Tarrant County, Texas, 76179, United States of America","Eagle Mountain, Fort Worth, Tarrant County, Texas, 76179, United States of America","(32.8934599, -97.4444646, 0.0)"
"eagle pass, texas",1,1,"Eagle Pass, Maverick County, Texas, 78852, United States of America","Eagle Pass, Maverick County, Texas, 78852, United States of America","(28.7099337, -100.4938137, 0.0)"
eagle river alaska,1,1,"Eagle River, Anchorage, Alaska, 99577, United States of America","Eagle River, Anchorage, Alaska, 99577, United States of America","(61.2971518, -149.5087177, 0.0)"
"ealing, london",1,1,"Ealing, London Borough of Ealing, London, Greater London, England, W5 5DG, United Kingdom","Ealing, London Borough of Ealing, London, Greater London, England, W5 5DG, United Kingdom","(51.5126553, -0.3051952, 0.0)"
earth,12,9,"Earth, Lamb County, Texas, United States of America","Earth, Lamb County, Texas, United States of America","(34.2331373, -102.4107493, 0.0)"
earth ,2,0,"Earth, Lamb County, Texas, United States of America","Earth, Lamb County, Texas, United States of America","(34.2331373, -102.4107493, 0.0)"
"earth, milky way, universe",1,1,,,
"east atlanta, georgia",1,1,"East Atlanta, Atlanta, DeKalb County, Georgia, 30316, United States of America","East Atlanta, Atlanta, DeKalb County, Georgia, 30316, United States of America","(33.7401064, -84.3449251, 0.0)"
"east aurora, ny",1,0,"East Aurora, Aurora, Erie County, New York, United States of America","East Aurora, Aurora, Erie County, New York, United States of America","(42.7689141, -78.6177611, 0.0)"
east coast,3,1,"East Coast, Southeast, 459108, Singapore","East Coast, Southeast, 459108, Singapore","(1.3104654, 103.9235132, 0.0)"
